V4	V5	acc	chr	len	merge	type	pan.b	pan.e	id	id_new
14488133	14488435	10015	4	301	0	chloroplast	21640692	21640994	59	59
5831548	5902986	6069	5	71437	0	chloroplast	7352268	7423606	60	60
7853211	7857318	220011	5	4106	0	chloroplast	10137842	10141949	61	61
7863210	7867316	22002	5	4105	0	chloroplast	10137842	10141949	61	61
8322320	8620047	220011	5	297728	0	chloroplast	0	0	-62	62
10544291	10544581	22005	5	289	0	chloroplast	14493433	14493723	65	65
10576915	10578090	9764	5	1174	0	chloroplast	14549271	14550453	66	66
12108433	12108695	6069	5	261	0	chloroplast	16877771	16878033	67	67
12119078	12119340	6024	5	261	0	chloroplast	16877771	16878033	67	67
12954468	12954723	6244	5	254	0	chloroplast	16877771	16878026	67	67
12115036	12115673	22002	5	636	0	chloroplast	17115552	17116189	68	68
13357517	13357779	10002	5	261	0	chloroplast	0	0	-69	67
13730721	13730970	22002	5	248	0	chloroplast	19232604	19233107	70	70
18299537	18299883	9888	5	345	0	chloroplast	27312990	27313336	71	71
21159470	21159858	6124	5	387	0	chloroplast	31209451	31209839	72	72
22298749	22299023	22007	5	273	0	chloroplast	33522230	33522504	73	73
27025539	27025775	6966	5	235	0	chloroplast	38434568	38434804	74	74
5347163	5360045	9075	1	12881	0	mitochondria	6458658	6471540	75	75
7749639	7750168	9075	1	528	0	mitochondria	9564372	9564901	76	76
10041876	10049827	9638	1	7950	0	mitochondria	12719404	12727463	77	77
10072252	10080310	9537	1	8057	0	mitochondria	12719404	12727463	77	77
12998126	12998592	22007	1	465	0	mitochondria	17766433	17766899	78	78
13827844	13828372	10015	1	527	0	mitochondria	19384309	19384865	79	79
14402813	14403444	9888	1	630	0	mitochondria	0	0	-80	80
14792723	14793354	6124	1	630	0	mitochondria	0	0	-81	80
15536573	15537204	6069	1	630	0	mitochondria	0	0	-82	80
16251756	16252115	10024	1	358	0	mitochondria	23873938	23874297	83	83
16479521	16479880	22002	1	358	0	mitochondria	23873938	23874297	83	83
16680916	16681275	22007	1	358	0	mitochondria	23873938	23874297	83	83
18198902	18421807	9638	1	222904	0	mitochondria	0	0	-84	84
23782525	23786361	6909	1	3835	0	mitochondria	34704851	34708688	85	85
29522522	29522809	9537	1	286	0	mitochondria	42485227	42485514	86	86
29597071	29597358	9075	1	286	0	mitochondria	42485227	42485514	86	86
29655185	29655472	9981	1	286	0	mitochondria	42485227	42485514	86	86
1448537	1448811	1741	2	273	0	mitochondria	2546507	2546782	87	87
1894287	2020710	6966	2	126422	0	mitochondria	0	0	-88	88
2662899	2663266	9764	2	366	0	mitochondria	5740856	5740489	89	89
3271678	3424324	6909	2	152645	0	mitochondria	0	0	-90	90
3351665	3352032	6069	2	366	0	mitochondria	0	0	-91	89
3375771	3376138	6244	2	366	0	mitochondria	0	0	-92	89
3504971	3505338	22007	2	366	0	mitochondria	0	0	-93	89
3528872	3529239	22003	2	366	0	mitochondria	0	0	-94	89
3542073	3542387	9075	2	313	0	mitochondria	0	0	-95	89
3569832	3570199	22004	2	366	0	mitochondria	0	0	-96	89
3623295	3623588	9543	2	292	0	mitochondria	6046232	6046532	97	97
3695006	3695373	9888	2	366	0	mitochondria	0	0	-98	89
5758045	5758335	220011	2	289	0	mitochondria	0	0	-99	99
8041019	8041360	6909	2	340	0	mitochondria	13916285	13916626	100	100
8346195	8346536	9888	2	340	0	mitochondria	13916285	13916626	100	100
441464	443330	10024	3	1865	0	mitochondria	498928	500794	101	101
1991694	1992134	6124	3	439	0	mitochondria	0	0	-102	102
2023099	2023541	6124	3	441	0	mitochondria	0	0	-103	103
5793718	5793917	220011	3	198	0	mitochondria	7242372	7242571	104	104
5799739	5799938	9638	3	198	0	mitochondria	7242372	7242571	104	104
5824157	5824356	10015	3	198	0	mitochondria	7242372	7242571	104	104
9054879	9066615	6966	3	11735	0	mitochondria	11653086	11664822	105	105
9088220	9099956	10002	3	11735	0	mitochondria	11653086	11664822	105	105
13171777	13174442	6024	3	2664	0	mitochondria	0	0	-106	107
13206970	13209735	22002	3	2764	0	mitochondria	19394310	19397088	107	107
13235586	13238318	6124	3	2731	0	mitochondria	19394310	19397042	107	107
13341464	13343752	6069	3	2287	0	mitochondria	19394310	19396598	107	107
13359592	13362370	22007	3	2777	0	mitochondria	19394310	19397088	107	107
13819235	13820330	6244	3	1094	0	mitochondria	0	0	-108	108
13833582	13838959	6244	3	5376	0	mitochondria	0	0	-109	109
13888178	13891526	6069	3	3347	0	mitochondria	0	0	-110	108
13903442	13907712	6069	3	4269	0	mitochondria	0	0	-111	109
15551329	15551804	22007	3	474	0	mitochondria	21803275	21803750	112	112
17304976	17305198	10015	3	221	0	mitochondria	26352047	26352269	113	113
17359584	17359806	1741	3	221	0	mitochondria	26352047	26352269	113	113
21865120	21865503	9981	3	382	0	mitochondria	31846817	31847200	114	114
22717318	22717715	9764	3	396	0	mitochondria	33616701	33617098	115	115
464799	465109	6909	4	309	0	mitochondria	672749	673059	116	116
2555360	2616876	9764	4	61515	0	mitochondria	3119967	3119911	117	117
2728438	2729107	9764	4	668	0	mitochondria	2931182	2930511	118	118
5389367	5389663	22006	4	295	0	mitochondria	8308853	8309149	119	119
5543981	5544277	22005	4	295	0	mitochondria	8308853	8309149	119	119
5946148	5946444	9543	4	295	0	mitochondria	8308853	8309149	119	119
8962887	8963231	22007	4	343	0	mitochondria	14215833	14216177	120	120
11914023	11914314	9537	4	290	0	mitochondria	19264136	19264427	121	121
11977248	11977539	9764	4	290	0	mitochondria	19264136	19264427	121	121
12050654	12050945	1741	4	290	0	mitochondria	19264136	19264427	121	121
12120574	12120865	22006	4	290	0	mitochondria	19264136	19264427	121	121
12158929	12159220	9981	4	290	0	mitochondria	19264136	19264427	121	121
12245683	12245974	22007	4	290	0	mitochondria	19264136	19264427	121	121
12265716	12266007	9638	4	290	0	mitochondria	19264136	19264427	121	121
12305059	12305350	9728	4	290	0	mitochondria	19264136	19264427	121	121
12387583	12387872	22003	4	288	0	mitochondria	19264136	19264427	121	121
12387945	12388236	6244	4	290	0	mitochondria	19264136	19264427	121	121
12422911	12423202	6069	4	290	0	mitochondria	19264136	19264427	121	121
12471260	12471551	9888	4	290	0	mitochondria	19264136	19264427	121	121
12504252	12504543	22005	4	290	0	mitochondria	19264136	19264427	121	121
12590263	12590554	22002	4	290	0	mitochondria	19264136	19264427	121	121
12608709	12609000	10015	4	290	0	mitochondria	19264136	19264427	121	121
12693880	12694171	220011	4	290	0	mitochondria	19264136	19264427	121	121
13042394	13042685	9905	4	290	0	mitochondria	19264136	19264427	121	121
12134871	12135155	10024	4	283	0	mitochondria	19264143	19264427	121	121
12785713	12785994	9543	4	280	0	mitochondria	19264146	19264427	121	121
9613863	9614408	10002	5	544	0	mitochondria	13057263	13057808	122	122
9642305	9642850	9537	5	544	0	mitochondria	13057263	13057808	122	122
9685826	9686371	6966	5	544	0	mitochondria	13057263	13057808	122	122
10920133	10929322	6124	5	9188	0	mitochondria	15356994	15366234	123	123
10998230	11007420	10015	5	9189	0	mitochondria	15356994	15366234	123	123
11000249	11008796	8236	5	8546	0	mitochondria	15356994	15366234	123	123
11000292	11009530	22002	5	9237	0	mitochondria	15356994	15366250	123	123
11001617	11010860	9075	5	9242	0	mitochondria	15356994	15366250	123	123
11007572	11016775	22004	5	9202	0	mitochondria	15356994	15366234	123	123
11011628	11020871	9981	5	9242	0	mitochondria	15356994	15366250	123	123
11092450	11101655	1741	5	9204	0	mitochondria	15356994	15366234	123	123
11093530	11102731	6966	5	9200	0	mitochondria	15356994	15366234	123	123
11131906	11141101	9728	5	9194	0	mitochondria	15356994	15366234	123	123
11255879	11264992	220011	5	9112	0	mitochondria	15357083	15366234	123	123
11365328	11365582	1741	5	253	0	mitochondria	0	0	-124	124
11366980	11367234	6966	5	253	0	mitochondria	0	0	-125	124
11871073	11872136	10002	5	1062	0	mitochondria	0	0	-126	126
11886320	11891675	10002	5	5354	0	mitochondria	0	0	-127	127
11977152	11977453	6124	5	300	0	mitochondria	0	0	-128	128
12018115	12018416	8236	5	300	0	mitochondria	0	0	-129	128
12045893	12046182	9728	5	288	0	mitochondria	0	0	-130	128
12757524	12757746	10015	5	221	0	mitochondria	17883260	17883038	131	131
12759946	12760408	10015	5	461	0	mitochondria	17880838	17880376	132	132
14659805	14660060	10015	5	254	0	mitochondria	21194145	21194400	133	133
25468779	25469388	22007	5	608	0	mitochondria	37524252	37524861	134	134
