Atgrp_name	class6	UNIPROT.class	UNIPROT.Organism
AT1Gr10000353	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10000354	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10000355	nucl_tair10	DNA-binding	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000356	partial_or_no_homology	NA	NA
AT1Gr10000357	nucl_tair10	DNA-binding	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000358	nucl_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000360	partial_or_no_homology	NA	NA
AT1Gr10000361	nucl_tair10	DNA-binding	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000409	TE	NA	NA
AT1Gr10000423	protein_tair10	Zinc-finger / Zinc knuckle	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000424	protein_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000434	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10000453	nucl_tair10	Other	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000459	TE	NA	NA
AT1Gr10000480	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10000487	protein_tair10	Zinc-finger / Zinc knuckle	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10000488	nucl_tair10	Transferase	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10000489	nucl_tair10	Transferase	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000494	TE	NA	NA
AT1Gr10000505	protein_tair10	Uncharacterized protein	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10000514	nucl_tair10	Zinc-finger / Zinc knuckle	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10000522	TE-like	Reverse transcriptase	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000531	nucl_tair10	F-box	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000543	TE	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10000547	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000550	protein_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000556	TE	NA	NA
AT1Gr10000564	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000589	protein_tair10	chloroplast	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000604	TE	NA	NA
AT1Gr10000606	protein_tair10	Uncharacterized protein	Noccaea caerulescens (Alpine penny-cress) (Thlaspi caerulescens)
AT1Gr10000620	protein_tair10	Repeat	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000621	TE	NA	NA
AT1Gr10000631	TE	NA	NA
AT1Gr10000640	other_species	Repeat	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10000646	protein_tair10	Signal peptide / Secreted	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000652	nucl_tair10	Repeat	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000663	TE	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10000670	nucl_tair10	Membrane / Transmembrane	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10000672	protein_tair10	Membrane / Transmembrane	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10000677	partial_or_no_homology	NA	NA
AT1Gr10000683	TE	NA	NA
AT1Gr10000697	TE	NA	NA
AT1Gr10000720	protein_tair10	Membrane / Transmembrane	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10000749	nucl_tair10	Other	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000752	TE	NA	NA
AT1Gr10000760	protein_tair10	DNA integration	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10000804	TE	NA	NA
AT1Gr10000854	protein_tair10	ATP binding	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10000857	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10000858	TE	NA	NA
AT1Gr10000861	TE	NA	NA
AT1Gr10000862	TE	NA	NA
AT1Gr10000894	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10000902	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000904	TE	NA	NA
AT1Gr10000947	TE	NA	NA
AT1Gr10000955	TE	NA	NA
AT1Gr10000972	TE	NA	NA
AT1Gr10000975	TE	NA	NA
AT1Gr10000983	protein_thaliana	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000992	TE-like	Reverse transcriptase	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10000995	protein_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001003	TE	NA	NA
AT1Gr10001013	protein_thaliana	DNA-binding	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001014	nucl_tair10	Nucleic acid binding	Brassica campestris (Field mustard)
AT1Gr10001015	TE	NA	NA
AT1Gr10001019	TE	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10001039	TE	NA	NA
AT1Gr10001045	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001052	TE	NA	NA
AT1Gr10001055	protein_tair10	Signal peptide / Secreted	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001071	protein_thaliana	DUF4283 domain-containing protein	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001073	partial_or_no_homology	NA	NA
AT1Gr10001078	TE	NA	NA
AT1Gr10001081	partial_or_no_homology	NA	NA
AT1Gr10001112	TE	NA	NA
AT1Gr10001126	partial_or_no_homology	NA	NA
AT1Gr10001186	TE	NA	NA
AT1Gr10001188	TE	NA	NA
AT1Gr10001193	TE	NA	NA
AT1Gr10001234	TE	NA	NA
AT1Gr10001241	protein_tair10	Other	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001247	TE-like	TE / Transposon / Transposase / DNA transposition	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10001259	TE	NA	NA
AT1Gr10001262	TE	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001265	protein_tair10	Nucleus	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10001271	nucl_tair10	Leucine-rich repeat	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001272	nucl_tair10	Leucine-rich repeat	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001282	partial_or_no_homology	NA	NA
AT1Gr10001296	TE	NA	NA
AT1Gr10001300	TE	NA	NA
AT1Gr10001302	protein_tair10	Other	Noccaea caerulescens (Alpine penny-cress) (Thlaspi caerulescens)
AT1Gr10001330	TE	NA	NA
AT1Gr10001331	TE	NA	NA
AT1Gr10001332	other_species	NA	NA
AT1Gr10001335	nucl_tair10	Zinc-finger / Zinc knuckle	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001342	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10001351	TE	NA	NA
AT1Gr10001375	protein_tair10	Other	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001377	partial_or_no_homology	NA	NA
AT1Gr10001382	protein_tair10	Other	Noccaea caerulescens (Alpine penny-cress) (Thlaspi caerulescens)
AT1Gr10001386	TE	NA	NA
AT1Gr10001388	TE	NA	NA
AT1Gr10001391	partial_or_no_homology	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001392	TE	NA	NA
AT1Gr10001406	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001416	TE	NA	NA
AT1Gr10001417	TE-like	TE / Transposon / Transposase / DNA transposition	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001422	TE	NA	NA
AT1Gr10001437	protein_tair10	Zinc-finger / Zinc knuckle	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001439	TE	NA	NA
AT1Gr10001440	TE	NA	NA
AT1Gr10001441	partial_or_no_homology	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001442	TE	NA	NA
AT1Gr10001447	TE	NA	NA
AT1Gr10001451	TE-like	TE / Transposon / Transposase / DNA transposition	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001456	TE	NA	NA
AT1Gr10001461	TE	NA	NA
AT1Gr10001466	TE	NA	NA
AT1Gr10001468	nucl_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001475	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10001478	nucl_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001483	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001488	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001496	TE	NA	NA
AT1Gr10001504	nucl_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001506	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001509	TE	NA	NA
AT1Gr10001510	TE	NA	NA
AT1Gr10001519	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10001521	TE	NA	NA
AT1Gr10001523	nucl_tair10	Response to auxin	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001524	nucl_tair10	Response to auxin	Eutrema halophilum (Salt cress) (Sisymbrium halophilum)
AT1Gr10001525	nucl_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001535	protein_tair10	Zinc-finger / Zinc knuckle	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001539	TE	NA	NA
AT1Gr10001553	TE	NA	NA
AT1Gr10001561	partial_or_no_homology	NA	NA
AT1Gr10001562	TE	NA	NA
AT1Gr10001566	TE	NA	NA
AT1Gr10001571	TE	NA	NA
AT1Gr10001578	other_species	Uncharacterized protein	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001581	TE	NA	NA
AT1Gr10001584	TE	NA	NA
AT1Gr10001591	other_species	Zinc-finger / Zinc knuckle	Arabidopsis arenosa (Sand rock-cress) (Cardaminopsis arenosa)
AT1Gr10001595	TE	NA	NA
AT1Gr10001612	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001614	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001626	TE-like	TE / Transposon / Transposase / DNA transposition	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001632	TE-like	NA	NA
AT1Gr10001634	protein_tair10	F-box	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001637	TE	Uncharacterized protein	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10001640	nucl_tair10	F-box	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001641	nucl_tair10	F-box	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001642	nucl_tair10	NA	NA
AT1Gr10001643	nucl_tair10	Nucleic acid binding	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001646	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001647	TE	NA	NA
AT1Gr10001650	TE	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001651	TE	NA	NA
AT1Gr10001657	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10001658	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001659	TE	NA	NA
AT1Gr10001660	nucl_tair10	Proteases / Peptidase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001661	nucl_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001662	nucl_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001667	partial_or_no_homology	NA	NA
AT1Gr10001674	protein_tair10	Metal-binding / Iron ion binding / Metal ion binding	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001675	protein_tair10	DC1 domain-containing protein	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001681	TE	NA	NA
AT1Gr10001684	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10001688	protein_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001689	nucl_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001690	nucl_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001691	TE	NA	NA
AT1Gr10001694	nucl_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001695	nucl_tair10	Membrane / Transmembrane	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001696	TE	NA	NA
AT1Gr10001697	nucl_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001698	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001699	nucl_tair10	Membrane / Transmembrane	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001700	protein_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001701	protein_tair10	Membrane / Transmembrane	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001709	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10001710	nucl_tair10	Signal peptide / Secreted	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001711	nucl_tair10	Proteases / Peptidase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001712	nucl_tair10	F-box	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001713	nucl_tair10	F-box	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001716	partial_or_no_homology	NA	NA
AT1Gr10001717	nucl_tair10	Coiled coil	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001721	TE	NA	NA
AT1Gr10001725	TE	NA	NA
AT1Gr10001726	TE	NA	NA
AT1Gr10001732	TE	NA	NA
AT1Gr10001733	TE	NA	NA
AT1Gr10001737	TE	NA	NA
AT1Gr10001744	nucl_tair10	Plant defense	Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress)
AT1Gr10001748	partial_or_no_homology	NA	NA
AT1Gr10001751	TE	NA	NA
AT1Gr10001753	other_species	Membrane / Transmembrane	Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress)
AT1Gr10001758	TE	NA	NA
AT1Gr10001761	TE	NA	NA
AT1Gr10001762	TE	NA	NA
AT1Gr10001763	TE	NA	NA
AT1Gr10001764	TE	NA	NA
AT1Gr10001765	protein_tair10	Coiled coil	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001769	TE	NA	NA
AT1Gr10001773	TE	NA	NA
AT1Gr10001782	TE	NA	NA
AT1Gr10001787	TE	NA	NA
AT1Gr10001788	partial_or_no_homology	NA	NA
AT1Gr10001793	TE	NA	NA
AT1Gr10001796	TE	NA	NA
AT1Gr10001805	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001806	TE	NA	NA
AT1Gr10001807	TE	NA	NA
AT1Gr10001808	TE	TE / Transposon / Transposase / DNA transposition	Arabidopsis arenosa (Sand rock-cress) (Cardaminopsis arenosa)
AT1Gr10001809	TE	NA	NA
AT1Gr10001810	TE	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10001811	TE	NA	NA
AT1Gr10001815	TE	NA	NA
AT1Gr10001816	TE	NA	NA
AT1Gr10001818	TE	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001823	partial_or_no_homology	NA	NA
AT1Gr10001827	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001832	protein_tair10	DNA integration	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10001834	protein_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001841	TE-like	TE / Transposon / Transposase / DNA transposition	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10001847	nucl_tair10	Plant defense	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001848	protein_tair10	Membrane / Transmembrane	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001849	protein_tair10	Uncharacterized protein	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10001851	TE	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001853	TE	NA	NA
AT1Gr10001854	TE	NA	NA
AT1Gr10001859	TE	NA	NA
AT1Gr10001865	TE	NA	NA
AT1Gr10001868	TE	NA	NA
AT1Gr10001871	nucl_tair10	Signal peptide / Secreted	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001872	protein_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001873	TE	NA	NA
AT1Gr10001874	TE	NA	NA
AT1Gr10001886	protein_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001887	protein_thaliana	Zinc-finger / Zinc knuckle	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001888	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10001893	TE	NA	NA
AT1Gr10001894	TE	NA	NA
AT1Gr10001896	protein_tair10	Proteases / Peptidase	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001897	TE	NA	NA
AT1Gr10001900	TE	Coiled coil	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001901	TE	NA	NA
AT1Gr10001904	TE	NA	NA
AT1Gr10001906	TE	NA	NA
AT1Gr10001908	protein_tair10	DUF4283 domain-containing protein	Capsella rubella
AT1Gr10001912	TE	NA	NA
AT1Gr10001913	TE	NA	NA
AT1Gr10001914	TE	NA	NA
AT1Gr10001915	TE	NA	NA
AT1Gr10001916	TE	NA	NA
AT1Gr10001921	protein_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001922	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10001923	TE	NA	NA
AT1Gr10001926	TE	NA	NA
AT1Gr10001928	TE	NA	NA
AT1Gr10001929	TE	NA	NA
AT1Gr10001930	TE-like	TE / Transposon / Transposase / DNA transposition	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001934	TE	NA	NA
AT1Gr10001935	TE	NA	NA
AT1Gr10001936	TE	NA	NA
AT1Gr10001937	TE	NA	NA
AT1Gr10001943	nucl_tair10	Other	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001950	TE	NA	NA
AT1Gr10001951	TE	Reverse transcriptase	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001953	TE	NA	NA
AT1Gr10001954	TE	NA	NA
AT1Gr10001955	TE	NA	NA
AT1Gr10001956	TE-like	TE / Transposon / Transposase / DNA transposition	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10001959	protein_tair10	DNA-binding	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001960	TE	NA	NA
AT1Gr10001961	TE	NA	NA
AT1Gr10001962	TE	NA	NA
AT1Gr10001966	TE	NA	NA
AT1Gr10001967	partial_or_no_homology	NA	NA
AT1Gr10001969	TE	NA	NA
AT1Gr10001970	protein_tair10	Repeat	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001971	protein_tair10	RNA-binding	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10001972	TE	Proteases / Peptidase	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001973	TE	NA	NA
AT1Gr10001974	protein_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10001975	TE	NA	NA
AT1Gr10001977	TE	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10001978	TE	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10001980	TE	NA	NA
AT1Gr10001981	TE	NA	NA
AT1Gr10001982	TE	NA	NA
AT1Gr10001983	TE	NA	NA
AT1Gr10001984	TE	NA	NA
AT1Gr10001985	TE	NA	NA
AT1Gr10001986	TE	NA	NA
AT1Gr10001987	TE	NA	NA
AT1Gr10001988	nucl_tair10	Membrane / Transmembrane	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10001990	TE	NA	NA
AT1Gr10001992	TE	NA	NA
AT1Gr10001993	TE	NA	NA
AT1Gr10001995	TE	NA	NA
AT1Gr10001996	TE	NA	NA
AT1Gr10002000	TE	NA	NA
AT1Gr10002001	TE	NA	NA
AT1Gr10002002	TE	NA	NA
AT1Gr10002004	TE	NA	NA
AT1Gr10002005	TE	NA	NA
AT1Gr10002006	TE	NA	NA
AT1Gr10002008	protein_thaliana	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10002009	partial_or_no_homology	NA	NA
AT1Gr10002010	TE	NA	NA
AT1Gr10002013	TE-like	Reverse transcriptase	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10002014	TE	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10002015	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10002016	TE	NA	NA
AT1Gr10002017	TE	NA	NA
AT1Gr10002018	TE	NA	NA
AT1Gr10002019	TE	NA	NA
AT1Gr10002020	TE	NA	NA
AT1Gr10002021	TE	NA	NA
AT1Gr10002022	TE	NA	NA
AT1Gr10002023	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10002024	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10002026	TE	NA	NA
AT1Gr10002027	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10002028	TE	NA	NA
AT1Gr10002029	TE	NA	NA
AT1Gr10002030	partial_or_no_homology	NA	NA
AT1Gr10002032	TE	NA	NA
AT1Gr10002033	partial_or_no_homology	NA	NA
AT1Gr10002035	TE	NA	NA
AT1Gr10002036	TE	NA	NA
AT1Gr10002037	TE	NA	NA
AT1Gr10002039	TE	NA	NA
AT1Gr10002040	TE	NA	NA
AT1Gr10002041	TE	NA	NA
AT1Gr10002042	TE	NA	NA
AT1Gr10002043	TE	NA	NA
AT1Gr10002044	TE	NA	NA
AT1Gr10002049	TE	NA	NA
AT1Gr10002050	TE	NA	NA
AT1Gr10002055	TE	NA	NA
AT1Gr10002056	TE	NA	NA
AT1Gr10002057	TE	NA	NA
AT1Gr10002058	TE-like	Reverse transcriptase	Eutrema salsugineum (Saltwater cress) (Sisymbrium salsugineum)
AT1Gr10002060	partial_or_no_homology	NA	NA
AT1Gr10002061	partial_or_no_homology	NA	NA
AT1Gr10002063	TE	NA	NA
AT1Gr10002064	other_species	Membrane / Transmembrane	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT1Gr10002065	partial_or_no_homology	NA	NA
AT1Gr10002066	TE	NA	NA
AT1Gr10002067	TE	NA	NA
AT1Gr10002068	TE	NA	NA
AT1Gr10002069	TE	NA	NA
AT1Gr10002070	TE	NA	NA
AT1Gr10002071	TE	NA	NA
AT1Gr10002072	TE	NA	NA
AT1Gr10002073	TE	NA	NA
AT1Gr10002074	TE	NA	NA
AT1Gr10002075	TE	NA	NA
AT1Gr10002076	TE	NA	NA
AT1Gr10002077	TE	NA	NA
AT1Gr10002078	TE	NA	NA
AT1Gr10002079	TE	NA	NA
AT1Gr10002080	TE	NA	NA
AT1Gr10002081	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT1Gr10002082	TE	NA	NA
AT1Gr10002083	TE	NA	NA
AT1Gr10002084	TE	NA	NA
AT1Gr10002085	TE	NA	NA
AT1Gr10002086	TE	NA	NA
AT1Gr10002087	TE	NA	NA
AT1Gr10002088	TE	NA	NA
AT1Gr10002089	TE	NA	NA
AT1Gr10002090	TE	NA	NA
AT1Gr10002091	nucl_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT1Gr10002092	TE	NA	NA
