group	V1	V2	V3	V4	V5	V6	V7	V8	V9	tair.only	len	simgr	dup	te	have.tair	not.detect	chr	cnv	is.te	category	annot	go	sv	in.sv	genes.tes$V9	Ar11_id	expressed_in_6909	expressed_nowhere	anyreads_in_6909	noreads_anywhere	nolocus_in_6909	N_acc_where_expressed	N_acc_where_readspresent
AT1Gr10000106	PanGen_Chr_1	Consensus	gene	759910	760880	.	+	.	ID=AT1Gr10000106	0	971		FALSE	0	0	0	1	1	FALSE	new_genes	protein_tair10	Other	971	1	ID=AT1Gr10000106	NA	FALSE	FALSE	FALSE	FALSE	TRUE	2	2
AT1Gr10000110	PanGen_Chr_1	Consensus	gene	805186	806301	.	+	.	ID=AT1Gr10000110	0	1116		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	1116	1	ID=AT1Gr10000110	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	2
AT1Gr10000140	PanGen_Chr_1	Consensus	gene	1025461	1028971	.	+	.	ID=AT1Gr10000140	0	3511		TRUE	0.6	0	0	1	1	TRUE	new_genes	TE	Reverse transcriptase	3511	1	ID=AT1Gr10000140	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10000141	PanGen_Chr_1	Consensus	gene	1033130	1033645	.	+	.	ID=AT1Gr10000141	0	516		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	516	1	ID=AT1Gr10000141	NA	TRUE	FALSE	TRUE	FALSE	FALSE	25	25
AT1Gr10000142	PanGen_Chr_1	Consensus	gene	1034825	1037308	.	+	.	ID=AT1Gr10000142	0	2484		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	2484	1	ID=AT1Gr10000142	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	1
AT1Gr10000148	PanGen_Chr_1	Consensus	gene	1089406	1095800	.	+	.	ID=AT1Gr10000148	0	6395		FALSE	0	0	0	1	0	FALSE	new_genes	protein_tair10	Membrane / Transmembrane	5234	0.818451915559031	ID=AT1Gr10000148	NA	FALSE	FALSE	TRUE	FALSE	FALSE	12	26
AT1Gr10000170	PanGen_Chr_1	Consensus	gene	1249258	1250212	.	+	.	ID=AT1Gr10000170	0	955		FALSE	1	0	0	1	1	TRUE	new_genes	TE	NA	955	1	ID=AT1Gr10000170	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1
AT1Gr10000186	PanGen_Chr_1	Consensus	gene	1417727	1418315	.	+	.	ID=AT1Gr10000186	0	589		FALSE	0	0	0	1	0	FALSE	new_genes	protein_thaliana	DNA-binding	381	0.646859083191851	ID=AT1Gr10000186	NA	FALSE	FALSE	FALSE	FALSE	FALSE	5	5
AT1Gr10000221	PanGen_Chr_1	Consensus	gene	1768643	1769214	.	+	.	ID=AT1Gr10000221	0	572		FALSE	0	0	0	1	0	FALSE	new_genes	TE-like	Reverse transcriptase	572	1	ID=AT1Gr10000221	NA	FALSE	FALSE	FALSE	FALSE	TRUE	2	2
AT1Gr10000222	PanGen_Chr_1	Consensus	gene	1781798	1785634	.	+	.	ID=AT1Gr10000222	0	3837		TRUE	0	0	0	1	1	FALSE	new_genes	TE-like	Reverse transcriptase	3837	1	ID=AT1Gr10000222	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	1
AT1Gr10000230	PanGen_Chr_1	Consensus	gene	1862013	1863298	.	+	.	ID=AT1Gr10000230	0	1286		FALSE	0	0	0	1	0	FALSE	new_genes	protein_tair10	Uncharacterized protein	1286	1	ID=AT1Gr10000230	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	8
AT1Gr10000239	PanGen_Chr_1	Consensus	gene	1981738	1983553	.	+	.	ID=AT1Gr10000239	0	1816		FALSE	0	0	0	1	0	FALSE	new_genes	protein_tair10	Carbohydrate metabolic process / Carbohydrate binding	0	0	ID=AT1Gr10000239	NA	TRUE	FALSE	TRUE	FALSE	FALSE	27	27
AT1Gr10000251	PanGen_Chr_1	Consensus	gene	2052662	2054944	.	+	.	ID=AT1Gr10000251	0	2283		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	2283	1	ID=AT1Gr10000251	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10000252	PanGen_Chr_1	Consensus	gene	2055456	2056559	.	+	.	ID=AT1Gr10000252	0	1104		TRUE	0	0	0	1	1	FALSE	new_genes	TE-like	TE / Transposon / Transposase / DNA transposition	1104	1	ID=AT1Gr10000252	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10000278	PanGen_Chr_1	Consensus	gene	2224443	2227803	.	+	.	ID=AT1Gr10000278	0	3361		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	3361	1	ID=AT1Gr10000278	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10000281	PanGen_Chr_1	Consensus	gene	2243924	2244223	.	+	.	ID=AT1Gr10000281	0	300		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	300	1	ID=AT1Gr10000281	NA	FALSE	FALSE	FALSE	FALSE	TRUE	2	2
AT1Gr10000353	PanGen_Chr_1	Consensus	gene	2812241	2814009	.	+	.	ID=AT1Gr10000353	0	1769		FALSE	0	0	0	1	1	FALSE	new_genes	TE-like	Reverse transcriptase	1769	1	ID=AT1Gr10000353	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	1
AT1Gr10000354	PanGen_Chr_1	Consensus	gene	2815130	2816823	.	+	.	ID=AT1Gr10000354	0	1694		FALSE	0.4	0	0	1	1	FALSE	new_genes	TE-like	Reverse transcriptase	1600	0.944510035419126	ID=AT1Gr10000354	NA	FALSE	TRUE	FALSE	FALSE	FALSE	0	2
AT1Gr10000355	PanGen_Chr_1	Consensus	gene	2833396	2833842	.	+	.	ID=AT1Gr10000355	0	447		TRUE	0	0	0	1	1	FALSE	new_genes	nucl_tair10	DNA-binding	447	1	ID=AT1Gr10000355	NA	FALSE	FALSE	FALSE	FALSE	TRUE	4	8
AT1Gr10000356	PanGen_Chr_1	Consensus	gene	2834785	2839394	.	+	.	ID=AT1Gr10000356	0	4610		FALSE	0.2	0	0	1	0	FALSE	new_genes	partial_or_no_homology	NA	4610	1	ID=AT1Gr10000356	NA	FALSE	FALSE	FALSE	FALSE	TRUE	8	9
AT1Gr10000357	PanGen_Chr_1	Consensus	gene	2843232	2843678	.	+	.	ID=AT1Gr10000357	0	447		TRUE	0	0	0	1	1	FALSE	new_genes	nucl_tair10	DNA-binding	447	1	ID=AT1Gr10000357	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1
AT1Gr10000358	PanGen_Chr_1	Consensus	gene	2844621	2844977	.	+	.	ID=AT1Gr10000358	0	357		TRUE	0	0	0	1	1	FALSE	new_genes	nucl_tair10	Membrane / Transmembrane	357	1	ID=AT1Gr10000358	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1
AT1Gr10000360	PanGen_Chr_1	Consensus	gene	2850151	2852276	.	+	.	ID=AT1Gr10000360	0	2126		FALSE	0	0	0	1	0	FALSE	new_genes	partial_or_no_homology	NA	2126	1	ID=AT1Gr10000360	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1
AT1Gr10000361	PanGen_Chr_1	Consensus	gene	2855951	2856397	.	+	.	ID=AT1Gr10000361	0	447		TRUE	0	0	0	1	1	FALSE	new_genes	nucl_tair10	DNA-binding	447	1	ID=AT1Gr10000361	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	1
AT1Gr10000409	PanGen_Chr_1	Consensus	gene	3272071	3272556	.	+	.	ID=AT1Gr10000409	0	486		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	486	1	ID=AT1Gr10000409	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10000423	PanGen_Chr_1	Consensus	gene	3365657	3367242	.	+	.	ID=AT1Gr10000423	0	1586		FALSE	0.2	0	0	1	1	FALSE	new_genes	protein_tair10	Zinc-finger / Zinc knuckle	1586	1	ID=AT1Gr10000423	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	1
AT1Gr10000424	PanGen_Chr_1	Consensus	gene	3369951	3372130	.	+	.	ID=AT1Gr10000424	0	2180		FALSE	0	0	0	1	0	FALSE	new_genes	protein_tair10	Membrane / Transmembrane	4	0.0018348623853211	ID=AT1Gr10000424	NA	TRUE	FALSE	TRUE	FALSE	FALSE	27	27
AT1Gr10000434	PanGen_Chr_1	Consensus	gene	3444307	3445316	.	+	.	ID=AT1Gr10000434	0	1010		FALSE	0	0	0	1	1	FALSE	new_genes	TE-like	Reverse transcriptase	1010	1	ID=AT1Gr10000434	NA	FALSE	FALSE	FALSE	FALSE	TRUE	4	10
AT1Gr10000453	PanGen_Chr_1	Consensus	gene	3569564	3571228	.	+	.	ID=AT1Gr10000453	0	1665		TRUE	0	0	0	1	1	FALSE	new_genes	nucl_tair10	Other	1665	1	ID=AT1Gr10000453	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1
AT1Gr10000459	PanGen_Chr_1	Consensus	gene	3611645	3611947	.	+	.	ID=AT1Gr10000459	0	303		FALSE	0.6	0	0	1	1	TRUE	new_genes	TE	NA	303	1	ID=AT1Gr10000459	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1
AT1Gr10000480	PanGen_Chr_1	Consensus	gene	3795456	3797255	.	+	.	ID=AT1Gr10000480	0	1800		FALSE	0.3	0	0	1	0	FALSE	new_genes	TE-like	Reverse transcriptase	1800	1	ID=AT1Gr10000480	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	1
AT1Gr10000487	PanGen_Chr_1	Consensus	gene	3854435	3857616	.	+	.	ID=AT1Gr10000487	0	3182		FALSE	0	0	0	1	0	FALSE	new_genes	protein_tair10	Zinc-finger / Zinc knuckle	3182	1	ID=AT1Gr10000487	NA	TRUE	FALSE	TRUE	FALSE	FALSE	14	14
AT1Gr10000488	PanGen_Chr_1	Consensus	gene	3866070	3867074	.	+	.	ID=AT1Gr10000488	0	1005		TRUE	0	0	0	1	1	FALSE	new_genes	nucl_tair10	Transferase	1005	1	ID=AT1Gr10000488	NA	FALSE	FALSE	FALSE	FALSE	TRUE	2	2
AT1Gr10000489	PanGen_Chr_1	Consensus	gene	3867543	3868617	.	+	.	ID=AT1Gr10000489	0	1075		TRUE	0	0	0	1	1	FALSE	new_genes	nucl_tair10	Transferase	1075	1	ID=AT1Gr10000489	NA	FALSE	FALSE	FALSE	FALSE	FALSE	3	3
AT1Gr10000494	PanGen_Chr_1	Consensus	gene	3909005	3913574	.	+	.	ID=AT1Gr10000494	0	4570		FALSE	0.9	0	0	1	0	TRUE	new_genes	TE	NA	4351	0.952078774617068	ID=AT1Gr10000494	NA	TRUE	FALSE	TRUE	FALSE	FALSE	1	1
AT1Gr10000505	PanGen_Chr_1	Consensus	gene	4026007	4026291	.	+	.	ID=AT1Gr10000505	0	285		FALSE	0	0	0	1	0	FALSE	new_genes	protein_tair10	Uncharacterized protein	0	0	ID=AT1Gr10000505	NA	FALSE	FALSE	FALSE	FALSE	FALSE	3	5
AT1Gr10000514	PanGen_Chr_1	Consensus	gene	4091591	4093136	.	+	.	ID=AT1Gr10000514	0	1546		TRUE	0	0	0	1	1	FALSE	new_genes	nucl_tair10	Zinc-finger / Zinc knuckle	1546	1	ID=AT1Gr10000514	NA	FALSE	FALSE	FALSE	FALSE	FALSE	1	5
AT1Gr10000522	PanGen_Chr_1	Consensus	gene	4165457	4170479	.	+	.	ID=AT1Gr10000522	0	5023		TRUE	0.5	0	0	1	0	FALSE	new_genes	TE-like	Reverse transcriptase	5023	1	ID=AT1Gr10000522	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	1
AT1Gr10000531	PanGen_Chr_1	Consensus	gene	4265964	4267139	.	+	.	ID=AT1Gr10000531	0	1176		TRUE	0	0	0	1	0	FALSE	new_genes	nucl_tair10	F-box	323	0.274659863945578	ID=AT1Gr10000531	NA	TRUE	FALSE	TRUE	FALSE	FALSE	20	24
AT1Gr10000543	PanGen_Chr_1	Consensus	gene	4376623	4378113	.	+	.	ID=AT1Gr10000543	0	1491		FALSE	1	0	0	1	1	TRUE	new_genes	TE	Reverse transcriptase	1368	0.917505030181087	ID=AT1Gr10000543	NA	TRUE	FALSE	TRUE	FALSE	FALSE	24	25
AT1Gr10000547	PanGen_Chr_1	Consensus	gene	4404834	4405013	.	+	.	ID=AT1Gr10000547	0	180		FALSE	0	0	0	1	0	FALSE	new_genes	protein_thaliana	Uncharacterized protein	0	0	ID=AT1Gr10000547	NA	TRUE	FALSE	TRUE	FALSE	FALSE	27	27
AT1Gr10000550	PanGen_Chr_1	Consensus	gene	4434115	4435138	.	+	.	ID=AT1Gr10000550	0	1024		FALSE	0	0	0	1	0	FALSE	new_genes	protein_tair10	Uncharacterized protein	771	0.7529296875	ID=AT1Gr10000550	NA	TRUE	FALSE	TRUE	FALSE	FALSE	1	1
AT1Gr10000556	PanGen_Chr_1	Consensus	gene	4515893	4521252	.	+	.	ID=AT1Gr10000556	0	5360		FALSE	0.9	0	0	1	0	TRUE	new_genes	TE	NA	4775	0.890858208955224	ID=AT1Gr10000556	NA	FALSE	TRUE	FALSE	FALSE	FALSE	0	5
AT1Gr10000564	PanGen_Chr_1	Consensus	gene	4558828	4561591	.	+	.	ID=AT1Gr10000564	0	2764		FALSE	0	0	0	1	0	FALSE	new_genes	protein_thaliana	Uncharacterized protein	2076	0.751085383502171	ID=AT1Gr10000564	NA	FALSE	FALSE	FALSE	FALSE	FALSE	1	1
AT1Gr10000589	PanGen_Chr_1	Consensus	gene	4714186	4717672	.	+	.	ID=AT1Gr10000589	0	3487		FALSE	0	0	0	1	0	FALSE	new_genes	protein_tair10	chloroplast	191	0.0547748781187267	ID=AT1Gr10000589	NA	TRUE	FALSE	TRUE	FALSE	FALSE	27	27
AT1Gr10000604	PanGen_Chr_1	Consensus	gene	4849350	4850099	.	+	.	ID=AT1Gr10000604	0	750		FALSE	1	0	0	1	1	TRUE	new_genes	TE	NA	750	1	ID=AT1Gr10000604	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1
AT1Gr10000606	PanGen_Chr_1	Consensus	gene	4861076	4861414	.	+	.	ID=AT1Gr10000606	0	339		FALSE	0	0	0	1	0	FALSE	new_genes	protein_tair10	Uncharacterized protein	0	0	ID=AT1Gr10000606	NA	TRUE	FALSE	TRUE	FALSE	FALSE	26	27
AT1Gr10000620	PanGen_Chr_1	Consensus	gene	4963116	4964599	.	+	.	ID=AT1Gr10000620	0	1484		FALSE	0	0	0	1	1	FALSE	new_genes	protein_tair10	Repeat	1194	0.804582210242588	ID=AT1Gr10000620	NA	FALSE	FALSE	FALSE	FALSE	FALSE	24	24
AT1Gr10000621	PanGen_Chr_1	Consensus	gene	4967442	4969209	.	+	.	ID=AT1Gr10000621	0	1768		FALSE	0.8	0	0	1	0	TRUE	new_genes	TE	NA	1632	0.923076923076923	ID=AT1Gr10000621	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10000631	PanGen_Chr_1	Consensus	gene	5058252	5059204	.	+	.	ID=AT1Gr10000631	0	953		FALSE	1	0	0	1	1	TRUE	new_genes	TE	NA	953	1	ID=AT1Gr10000631	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10000640	PanGen_Chr_1	Consensus	gene	5116770	5118832	.	+	.	ID=AT1Gr10000640	0	2063		FALSE	0	0	0	1	0	FALSE	new_genes	other_species	Repeat	881	0.427047988366457	ID=AT1Gr10000640	NA	FALSE	FALSE	FALSE	FALSE	FALSE	3	7
AT1Gr10000646	PanGen_Chr_1	Consensus	gene	5158433	5162986	.	+	.	ID=AT1Gr10000646	0	4554		FALSE	0	0	0	1	0	FALSE	new_genes	protein_tair10	Signal peptide / Secreted	4037	0.886473429951691	ID=AT1Gr10000646	NA	FALSE	FALSE	TRUE	FALSE	FALSE	3	10
AT1Gr10000652	PanGen_Chr_1	Consensus	gene	5207822	5209630	.	+	.	ID=AT1Gr10000652	0	1809		TRUE	0	0	0	1	1	FALSE	new_genes	nucl_tair10	Repeat	1809	1	ID=AT1Gr10000652	NA	FALSE	FALSE	FALSE	FALSE	TRUE	2	2
AT1Gr10000663	PanGen_Chr_1	Consensus	gene	5281813	5287061	.	+	.	ID=AT1Gr10000663	0	5249		FALSE	0.7	0	0	1	0	TRUE	new_genes	TE	Reverse transcriptase	5249	1	ID=AT1Gr10000663	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10000670	PanGen_Chr_1	Consensus	gene	5320923	5322558	.	+	.	ID=AT1Gr10000670	0	1636		TRUE	0	0	0	1	0	FALSE	new_genes	nucl_tair10	Membrane / Transmembrane	36	0.0220048899755501	ID=AT1Gr10000670	NA	TRUE	FALSE	TRUE	FALSE	FALSE	23	27
AT1Gr10000672	PanGen_Chr_1	Consensus	gene	5328753	5330412	.	+	.	ID=AT1Gr10000672	0	1660		FALSE	0	0	0	1	0	FALSE	new_genes	protein_tair10	Membrane / Transmembrane	1579	0.951204819277108	ID=AT1Gr10000672	NA	FALSE	TRUE	FALSE	FALSE	FALSE	0	10
AT1Gr10000677	PanGen_Chr_1	Consensus	gene	5358474	5358704	.	+	.	ID=AT1Gr10000677	0	231		FALSE	0	0	0	1	0	FALSE	new_genes	partial_or_no_homology	NA	0	0	ID=AT1Gr10000677	NA	TRUE	FALSE	TRUE	FALSE	FALSE	27	27
AT1Gr10000683	PanGen_Chr_1	Consensus	gene	5434734	5435006	.	+	.	ID=AT1Gr10000683	0	273		TRUE	0.9	0	0	1	1	TRUE	new_genes	TE	NA	273	1	ID=AT1Gr10000683	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1
AT1Gr10000697	PanGen_Chr_1	Consensus	gene	5649067	5652032	.	+	.	ID=AT1Gr10000697	0	2966		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	2966	1	ID=AT1Gr10000697	NA	FALSE	TRUE	FALSE	FALSE	FALSE	0	6
AT1Gr10000720	PanGen_Chr_1	Consensus	gene	5813263	5814327	.	+	.	ID=AT1Gr10000720	0	1065		FALSE	0	0	0	1	0	FALSE	new_genes	protein_tair10	Membrane / Transmembrane	0	0	ID=AT1Gr10000720	NA	TRUE	FALSE	TRUE	FALSE	FALSE	24	27
AT1Gr10000749	PanGen_Chr_1	Consensus	gene	6046270	6048750	.	+	.	ID=AT1Gr10000749	0	2481		TRUE	0	0	0	1	1	FALSE	new_genes	nucl_tair10	Other	2481	1	ID=AT1Gr10000749	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1
AT1Gr10000752	PanGen_Chr_1	Consensus	gene	6068649	6070888	.	+	.	ID=AT1Gr10000752	0	2240		TRUE	0.8	0	0	1	1	TRUE	new_genes	TE	NA	2240	1	ID=AT1Gr10000752	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	1
AT1Gr10000760	PanGen_Chr_1	Consensus	gene	6137652	6139241	.	+	.	ID=AT1Gr10000760	0	1590		FALSE	0	0	0	1	1	FALSE	new_genes	protein_tair10	DNA integration	1590	1	ID=AT1Gr10000760	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10000804	PanGen_Chr_1	Consensus	gene	6525554	6527985	.	+	.	ID=AT1Gr10000804	0	2432		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	2432	1	ID=AT1Gr10000804	NA	FALSE	FALSE	FALSE	FALSE	TRUE	1	1
AT1Gr10000854	PanGen_Chr_1	Consensus	gene	6856607	6859123	.	+	.	ID=AT1Gr10000854	0	2517		FALSE	0	0	0	1	1	FALSE	new_genes	protein_tair10	ATP binding	3	0.00119189511323004	ID=AT1Gr10000854	NA	TRUE	FALSE	TRUE	FALSE	FALSE	27	27
AT1Gr10000857	PanGen_Chr_1	Consensus	gene	6872638	6878234	.	+	.	ID=AT1Gr10000857	0	5597		TRUE	0.1	0	0	1	1	FALSE	new_genes	TE-like	Reverse transcriptase	5597	1	ID=AT1Gr10000857	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	2
AT1Gr10000858	PanGen_Chr_1	Consensus	gene	6879295	6880639	.	+	.	ID=AT1Gr10000858	0	1345		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	1345	1	ID=AT1Gr10000858	NA	FALSE	TRUE	TRUE	FALSE	FALSE	0	1
AT1Gr10000861	PanGen_Chr_1	Consensus	gene	6891645	6891806	.	+	.	ID=AT1Gr10000861	0	162		FALSE	1	0	0	1	1	TRUE	new_genes	TE	NA	162	1	ID=AT1Gr10000861	NA	FALSE	TRUE	FALSE	TRUE	FALSE	0	0
AT1Gr10000862	PanGen_Chr_1	Consensus	gene	6892525	6896052	.	+	.	ID=AT1Gr10000862	0	3528		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	3528	1	ID=AT1Gr10000862	NA	FALSE	TRUE	FALSE	FALSE	FALSE	0	5
AT1Gr10000894	PanGen_Chr_1	Consensus	gene	7159100	7159862	.	+	.	ID=AT1Gr10000894	0	763		FALSE	0	0	0	1	0	FALSE	new_genes	protein_thaliana	Uncharacterized protein	672	0.880733944954128	ID=AT1Gr10000894	NA	FALSE	TRUE	FALSE	FALSE	FALSE	0	1
AT1Gr10000902	PanGen_Chr_1	Consensus	gene	7205532	7206176	.	+	.	ID=AT1Gr10000902	0	645		FALSE	0	0	0	1	0	FALSE	new_genes	protein_thaliana	Uncharacterized protein	645	1	ID=AT1Gr10000902	NA	TRUE	FALSE	TRUE	FALSE	FALSE	21	23
AT1Gr10000904	PanGen_Chr_1	Consensus	gene	7217657	7221042	.	+	.	ID=AT1Gr10000904	0	3386		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	3386	1	ID=AT1Gr10000904	NA	FALSE	TRUE	TRUE	FALSE	FALSE	0	8
AT1Gr10000947	PanGen_Chr_1	Consensus	gene	7577867	7579055	.	+	.	ID=AT1Gr10000947	0	1189		FALSE	0.6	0	0	1	0	TRUE	new_genes	TE	NA	87	0.0731707317073171	ID=AT1Gr10000947	NA	TRUE	FALSE	TRUE	FALSE	FALSE	24	24
AT1Gr10000955	PanGen_Chr_1	Consensus	gene	7655128	7657348	.	+	.	ID=AT1Gr10000955	0	2221		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	2221	1	ID=AT1Gr10000955	NA	FALSE	FALSE	FALSE	FALSE	TRUE	3	5
AT1Gr10000972	PanGen_Chr_1	Consensus	gene	7750854	7752713	.	+	.	ID=AT1Gr10000972	0	1860		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	1860	1	ID=AT1Gr10000972	NA	FALSE	TRUE	FALSE	TRUE	TRUE	0	0
AT1Gr10000975	PanGen_Chr_1	Consensus	gene	7772631	7773527	.	+	.	ID=AT1Gr10000975	0	897		TRUE	1	0	0	1	1	TRUE	new_genes	TE	NA	897	1	ID=AT1Gr10000975	NA	FALSE	TRUE	FALSE	FALSE	TRUE	0	1
AT1Gr10000983	PanGen_Chr_1	Consensus	gene	7814583	7815268	.	+	.	ID=AT1Gr10000983	0	686		FALSE	0	0	0	1	0	FALSE	new_genes	protein_thaliana	Membrane / Transmembrane	11	0.0160349854227405	ID=AT1Gr10000983	NA	TRUE	FALSE	TRUE	FALSE	FALSE	27	27
AT1Gr10000992	PanGen_Chr_1	Consensus	gene	7891540	7893171	.	+	.	ID=AT1Gr10000992	0	1632		FALSE	0	0	0	1	0	FALSE	new_genes	TE-like	Reverse transcriptase	1543	0.94546568627451	ID=AT1Gr10000992	NA	FALSE	FALSE	FALSE	FALSE	FALSE	1	2
AT1Gr10000995	PanGen_Chr_1	Consensus	gene	7919669	7922962	.	+	.	ID=AT1Gr10000995	0	3294		FALSE	0.3	0	0	1	0	FALSE	new_genes	protein_tair10	Membrane / Transmembrane	860	0.261080752884032	ID=AT1Gr10000995	NA	TRUE	FALSE	TRUE	FALSE	FALSE	27	27
AT1Gr10001003	PanGen_Chr_1	Consensus	gene	7974655	7978935	.	+	.	ID=AT1Gr10001003	0	4281		FALSE	1	0	0	1	0	TRUE	new_genes	TE	NA	3552	0.829712683952348	ID=AT1Gr10001003	NA	TRUE	FALSE	TRUE	FALSE	FALSE	19	24
