Accession	Node:0	Node:1	Node:2	Node:3	Node:4	Node:5	Node:6	Node:7	Node:8	Node:9	Node:10	Node:11	Node:12	Node:13	Node:14	Node:15	Node:16	Node:17	Node:18	Node:19	Node:20	Node:21	Node:22	Node:23	Node:24	Node:25	Node:26	Node:27	Seq:0	Seq:1	Seq:2	Seq:3	Seq:4	Seq:5	Seq:6	Seq:7	Seq:8	Seq:9	Seq:10	Seq:11	Seq:12	Seq:13	Seq:14	Seq:15	Seq:16	Seq:17	Seq:18	Seq:19	Seq:20	Seq:21	Seq:22	Seq:23	Seq:24	Seq:25	Seq:26	Seq:27
6966#1#Chr4	14393	15969	13536	9918	11035	9543	10995	12992	14579	17653	20702	24049	25860	24126	26019	30585	34172	39502	41592	42814	49603	58557	67560	76805	92983	139299	229172	434519	222393	138473	182833	121098	127772	66392	93068	105569	105170	151967	172618	253519	202021	174082	192639	211214	223919	253006	309211	254203	311586	341562	414445	475150	478369	750530	1146077	11415828
8236#1#Chr4	20241	11907	12264	11577	11105	10199	12519	12830	13782	16457	20930	24647	25784	23662	24764	27009	31555	36087	38066	41823	45726	57962	65832	75886	91373	137118	226637	434519	269036	122943	157567	167975	145145	90660	119344	149789	80938	128788	175466	237333	198458	171286	194038	171689	213948	230506	273100	259566	274740	340331	402730	478579	473711	732001	1126674	11415828
9075#1#Chr4	27167	11087	10302	11283	11022	11199	10809	11545	12725	16332	16413	17974	20619	24447	26582	29804	33603	37144	39889	41265	45874	55859	63788	73248	88220	134569	220990	434519	425538	126174	93810	107263	151279	115720	90617	86132	86025	139782	123715	125827	154116	190513	213517	219680	226594	247517	293645	252090	281445	325899	390071	461311	445784	719126	1084088	11415828
9537#1#Chr4	17708	10927	8454	12968	11618	10683	14761	12371	11132	10980	12998	13969	13516	15930	18419	18019	22077	26601	31207	35732	43899	53659	63260	76402	92237	137821	226431	434519	234783	127672	60531	131978	169312	127027	512587	178555	80273	81043	88515	102160	96971	123524	169362	113780	133925	167402	207858	194936	264314	297434	380725	471133	474801	746315	1136724	11415828
9543#1#Chr4	34815	15702	25786	21502	22274	16835	14799	15602	16900	18435	17671	20095	21697	22721	24139	26250	30457	34621	32539	34532	39238	47492	59151	68524	86939	132495	220357	434519	648759	250057	361226	300478	352921	169421	124047	114589	122919	156461	125142	157125	165642	172939	178981	180324	204086	222570	212750	200834	223699	265659	349536	412493	452682	687377	1111722	11415828
9638#1#Chr4	9185	15715	10487	15928	11781	12665	11011	11075	12452	14851	17903	18435	19912	22356	25268	29193	33855	37896	38981	42714	46833	54604	63506	74284	93037	138796	230127	434519	196393	382906	141815	178890	132721	121691	90436	92781	87248	122474	143184	165910	133701	148791	184077	214834	233843	240646	275328	267025	300071	310708	384963	454826	478337	745663	1139204	11415828
9728#1#Chr4	23172	10563	9991	9644	9138	10418	11392	12941	15885	18657	22455	25280	25752	23151	24215	26809	31651	35347	37539	39315	45120	54393	62811	76366	91780	137232	225570	434519	355858	189324	83494	114573	84766	80174	93190	99814	129843	159047	193635	256171	216984	172933	193234	189749	218929	235696	282573	241118	286801	308783	376018	475114	477697	726009	1127107	11415828
9764#1#Chr4	40631	14354	12143	14719	13371	12223	11348	13627	13816	14696	15904	15728	15393	16915	19292	21297	24747	30080	31915	34423	42439	50686	60011	68979	87905	133563	213685	434519	784279	192662	142867	241210	196848	115661	78201	104834	97189	111385	123678	120453	104402	119638	155512	140052	153871	193071	203680	182936	257587	277341	364402	385010	451903	717891	1074487	11415828
9888#1#Chr4	18879	14065	14409	12109	10821	10456	11459	14246	15266	17786	22440	26551	27089	23049	23520	26416	29688	33107	35863	41739	46697	56395	65514	75576	92061	138324	226827	434519	186737	226561	210498	193599	111859	108307	96376	166574	109498	147988	181263	274260	225174	176684	168109	175413	197362	212992	236459	240913	290719	325277	397900	460287	472681	745110	1136991	11415828
9905#1#Chr4	44601	20086	18333	19341	20830	17955	15202	16167	17934	18429	19270	22349	24422	23261	23833	24195	27780	31263	30890	36701	40933	46865	58734	67803	82357	127100	215021	434519	891989	359640	334183	261907	314576	199512	127368	130278	138354	151003	145265	185431	187122	167220	195014	155086	176337	202435	188283	217828	248901	266504	355580	420623	408329	667172	1052173	11415828
9981#1#Chr4	19401	11956	11047	10113	10207	9899	10967	11434	13917	14792	19290	22727	23103	19573	21634	24413	28188	32603	35317	41485	47591	57862	66641	76927	93211	138556	226371	434519	271081	141845	118927	134751	94148	85274	114589	124955	100170	117751	146822	204914	184992	130335	153289	169606	189037	210758	230452	240460	290122	335451	403285	479002	482493	744947	1135230	11415828
TAIR10#1#Chr4	970	8788	12934	12957	11522	11917	15105	12668	11759	11836	11499	12558	13287	14859	17050	18549	23112	27009	30985	35461	44094	56753	65700	75160	93025	140462	234031	434519	12487	127020	119925	135871	177247	127357	519168	180104	88980	112516	84570	93895	95569	106737	129470	110977	141814	174232	210298	199738	260789	325253	410869	463552	483477	757932	1163760	11415828
