Accession	Centromeres	rDNA_45S	rDNA_5S	Kmer_coverage	Genome_size	Repeats_total	nonRepeats
9792	12543809.6362972	7103329.29251538	906300.050700594	23.59666645	140449773	20553438.9795132	119896334.020487
9832	12210087.3499253	6828453.81367691	1084037.58671867	41.33826774	139946401	20122578.7503209	119823822.249679
9837	11115137.8906007	6570066.41301837	1622087.13638818	31.16620733	138646241	19307291.4400073	119338949.559993
9869	14240717.4116614	5459908.81540569	2885565.98257142	37.59844989	142803066	22586192.2096385	120216873.790361
9871	14992088.9039541	7679552.11400225	2401820.77458257	42.85794889	145081720	25073461.7925389	120008258.207461
9879	12869877.3806102	4803109.92591933	3638729.75032284	37.91222912	140137341	21311717.0568524	118825623.943148
9887	12069481.2634967	8627439.77230637	2836528.77813454	29.98955366	143304820	23533449.8139376	119771370.186062
9888	12978139.2296303	3912919.45114555	1386278.77891817	76.19904568	136285197	18277337.459694	118007859.540306
9905	12892609.0102695	3840852.5488196	2916558.06049901	48.25980525	140888956	19650019.6195881	121238936.380412
9928	16580982.9343924	10414914.2904486	3047332.66960399	14.56672074	152610880	30043229.894445	122567650.105555
9943	11842311.3562619	4470353.13550356	1403379.53918721	65.74826084	137610778	17716044.0309527	119894733.969047
9944	14158022.9903377	6282481.35610758	2943112.56899421	22.6228778	143094262	23383616.9154395	119710645.084561
9947	13917219.2092337	7925595.55857894	2393387.17658863	44.89762837	145522644	24236201.9444013	121286442.055599
9981	12643350.2592997	7589573.40272035	1646259.9029658	31.21534814	141576109	21879183.5649858	119696925.435014
10002	8807094.19348369	5708836.59305689	1545877.42982558	32.2073426	135856496	16061808.2163662	119794687.783634
10015	14066263.6670677	7371704.48975146	1356603.58786999	74.46552324	142357357	22794571.7446891	119562785.255311
10024	18762038.5838155	9910020.15377487	1459166.49867232	52.57696916	149322793	30131225.2362627	119191567.763737
22001	17488014.2187928	7422610.13210175	3074211.83862892	39.24434435	147812948	27984836.1895235	119828111.810477
22002	17835313.2538798	7233789.20803961	3726775.66643185	40.54787879	147927445	28795878.1283513	119131566.871649
22003	15294929.0271825	6399980.26031836	3412163.56686739	44.27710719	144627942	25107072.8543683	119520869.145632
22004	14246329.1454975	6747806.26739865	730650.53864582	37.07133105	142577810	21724785.951542	120853024.048458
22005	18134931.321345	8728672.94724503	3571640.50489012	43.92871337	150994883	30435244.7734802	120559638.22652
22006	14206042.1304716	10568630.0164989	3811386.7074309	45.28442828	148691621	28586058.8544014	120105562.145599
22007	12702170.7908292	9427912.13921075	1926069.13327384	45.07180272	143863598	24056152.0633138	119807445.936686
