Type	Length	Accession	Type2
Transposable element	5790548	6909	ClassII_Helitrons
Transposable element	2229665	6909	ClassII_TIR
Nuclear organellar insertion	156735	6909	mitochondria
Other repeat	1281324	6909	repeat_region
Telomere	108972	6909	telomere
Non-repetitive genome	101058186	6909	Nonrepetitive_genome
45S rDNA	81308	6966	45S
5S rDNA	90280	6966	5S
Centromere	654455	6966	centromere
Nuclear organellar insertion	5858	6966	chloroplast
Transposable element	8031422	6966	ClassI_LTR
Transposable element	177025	6966	ClassI_nonLTR
Transposable element	6463821	6966	ClassII_Helitrons
Transposable element	2151816	6966	ClassII_TIR
Nuclear organellar insertion	147856	6966	mitochondria
Other repeat	1130253	6966	repeat_region
Telomere	66121	6966	telomere
Non-repetitive genome	101280731	6966	Nonrepetitive_genome
45S rDNA	102430	8236	45S
5S rDNA	246857	8236	5S
Centromere	838985	8236	centromere
Nuclear organellar insertion	8197	8236	chloroplast
Transposable element	7710826	8236	ClassI_LTR
Transposable element	190446	8236	ClassI_nonLTR
Transposable element	5385743	8236	ClassII_Helitrons
Transposable element	2707405	8236	ClassII_TIR
Nuclear organellar insertion	8839	8236	mitochondria
Other repeat	1412238	8236	repeat_region
Telomere	87801	8236	telomere
Non-repetitive genome	100826863	8236	Nonrepetitive_genome
45S rDNA	64072	9075	45S
5S rDNA	252052	9075	5S
Centromere	305074	9075	centromere
Nuclear organellar insertion	6588	9075	chloroplast
Transposable element	7395068	9075	ClassI_LTR
Transposable element	56517	9075	ClassI_nonLTR
Transposable element	6050559	9075	ClassII_Helitrons
Transposable element	2681822	9075	ClassII_TIR
Nuclear organellar insertion	23165	9075	mitochondria
Other repeat	1201034	9075	repeat_region
Telomere	54005	9075	telomere
Non-repetitive genome	100845085	9075	Nonrepetitive_genome
45S rDNA	107745	9537	45S
5S rDNA	295049	9537	5S
Centromere	456931	9537	centromere
Nuclear organellar insertion	7899	9537	chloroplast
Transposable element	7491162	9537	ClassI_LTR
Transposable element	120473	9537	ClassI_nonLTR
Transposable element	6164615	9537	ClassII_Helitrons
Transposable element	2096271	9537	ClassII_TIR
Nuclear organellar insertion	8383	9537	mitochondria
Other repeat	1098089	9537	repeat_region
Telomere	101243	9537	telomere
Non-repetitive genome	100688641	9537	Nonrepetitive_genome
45S rDNA	40571	9543	45S
5S rDNA	345068	9543	5S
Centromere	831320	9543	centromere
Nuclear organellar insertion	117094	9543	chloroplast
Transposable element	7958687	9543	ClassI_LTR
Transposable element	250715	9543	ClassI_nonLTR
Transposable element	5808433	9543	ClassII_Helitrons
Transposable element	2408985	9543	ClassII_TIR
Nuclear organellar insertion	870	9543	mitochondria
Other repeat	1377725	9543	repeat_region
Telomere	147463	9543	telomere
Non-repetitive genome	101104732	9543	Nonrepetitive_genome
45S rDNA	100584	9638	45S
5S rDNA	210953	9638	5S
Centromere	1278928	9638	centromere
Nuclear organellar insertion	6327	9638	chloroplast
Transposable element	7401582	9638	ClassI_LTR
Transposable element	207068	9638	ClassI_nonLTR
Transposable element	5486772	9638	ClassII_Helitrons
Transposable element	2168493	9638	ClassII_TIR
Nuclear organellar insertion	227318	9638	mitochondria
Other repeat	1177243	9638	repeat_region
Telomere	117265	9638	telomere
Non-repetitive genome	100720764	9638	Nonrepetitive_genome
45S rDNA	119498	9728	45S
5S rDNA	162302	9728	5S
Centromere	670349	9728	centromere
Nuclear organellar insertion	69189	9728	chloroplast
Transposable element	7710488	9728	ClassI_LTR
Transposable element	129318	9728	ClassI_nonLTR
Transposable element	6612123	9728	ClassII_Helitrons
Transposable element	2147972	9728	ClassII_TIR
Nuclear organellar insertion	9685	9728	mitochondria
Other repeat	903472	9728	repeat_region
Telomere	69973	9728	telomere
Non-repetitive genome	101222569	9728	Nonrepetitive_genome
45S rDNA	95265	9764	45S
5S rDNA	489988	9764	5S
Centromere	639601	9764	centromere
Nuclear organellar insertion	14708	9764	chloroplast
Transposable element	6761575	9764	ClassI_LTR
Transposable element	198265	9764	ClassI_nonLTR
Transposable element	5978317	9764	ClassII_Helitrons
Transposable element	2417133	9764	ClassII_TIR
Nuclear organellar insertion	63094	9764	mitochondria
Other repeat	1090715	9764	repeat_region
Telomere	82765	9764	telomere
Non-repetitive genome	101077520	9764	Nonrepetitive_genome
45S rDNA	87521	9888	45S
5S rDNA	243151	9888	5S
Centromere	656299	9888	centromere
Nuclear organellar insertion	6133	9888	chloroplast
Transposable element	7791562	9888	ClassI_LTR
Transposable element	131971	9888	ClassI_nonLTR
Transposable element	5997122	9888	ClassII_Helitrons
Transposable element	2235212	9888	ClassII_TIR
Nuclear organellar insertion	1630	9888	mitochondria
Other repeat	892611	9888	repeat_region
Telomere	88413	9888	telomere
Non-repetitive genome	100770402	9888	Nonrepetitive_genome
45S rDNA	95777	9905	45S
5S rDNA	360980	9905	5S
Centromere	756440	9905	centromere
Nuclear organellar insertion	18534	9905	chloroplast
Transposable element	8660074	9905	ClassI_LTR
Transposable element	273501	9905	ClassI_nonLTR
Transposable element	6020979	9905	ClassII_Helitrons
Transposable element	2388563	9905	ClassII_TIR
Nuclear organellar insertion	291	9905	mitochondria
Other repeat	1358000	9905	repeat_region
Telomere	85420	9905	telomere
Non-repetitive genome	101094874	9905	Nonrepetitive_genome
45S rDNA	92383	9981	45S
5S rDNA	222035	9981	5S
Centromere	1244796	9981	centromere
Nuclear organellar insertion	28017	9981	chloroplast
Transposable element	7527274	9981	ClassI_LTR
Transposable element	247675	9981	ClassI_nonLTR
Transposable element	5083790	9981	ClassII_Helitrons
Transposable element	2354514	9981	ClassII_TIR
Nuclear organellar insertion	10114	9981	mitochondria
Other repeat	1169142	9981	repeat_region
Telomere	167528	9981	telomere
Non-repetitive genome	101485036	9981	Nonrepetitive_genome
45S rDNA	83260	10002	45S
5S rDNA	406132	10002	5S
Centromere	1010763	10002	centromere
Nuclear organellar insertion	43983	10002	chloroplast
Transposable element	7280303	10002	ClassI_LTR
Transposable element	94522	10002	ClassI_nonLTR
Transposable element	5924094	10002	ClassII_Helitrons
Transposable element	2215303	10002	ClassII_TIR
Nuclear organellar insertion	18324	10002	mitochondria
Other repeat	1208557	10002	repeat_region
Telomere	73367	10002	telomere
Non-repetitive genome	101430094	10002	Nonrepetitive_genome
45S rDNA	76768	10015	45S
5S rDNA	245348	10015	5S
Centromere	897158	10015	centromere
Nuclear organellar insertion	7329	10015	chloroplast
Transposable element	7462227	10015	ClassI_LTR
Transposable element	235514	10015	ClassI_nonLTR
Transposable element	5704935	10015	ClassII_Helitrons
Transposable element	2261543	10015	ClassII_TIR
Nuclear organellar insertion	11279	10015	mitochondria
non_Transposable element	25041	10015	non_ClassI_LTR
Other repeat	1192144	10015	repeat_region
Telomere	108183	10015	telomere
Non-repetitive genome	100760331	10015	Nonrepetitive_genome
45S rDNA	125743	10024	45S
5S rDNA	137486	10024	5S
Centromere	432575	10024	centromere
Nuclear organellar insertion	99255	10024	chloroplast
Transposable element	7672557	10024	ClassI_LTR
Transposable element	139636	10024	ClassI_nonLTR
Transposable element	5820164	10024	ClassII_Helitrons
Transposable element	2112493	10024	ClassII_TIR
Nuclear organellar insertion	2509	10024	mitochondria
Other repeat	1289691	10024	repeat_region
Telomere	47094	10024	telomere
Non-repetitive genome	100296734	10024	Nonrepetitive_genome
45S rDNA	83986	22001	45S
5S rDNA	377317	22001	5S
Centromere	892041	22001	centromere
Nuclear organellar insertion	283639	22001	chloroplast
Transposable element	7247469	22001	ClassI_LTR
Transposable element	175852	22001	ClassI_nonLTR
Transposable element	6162953	22001	ClassII_Helitrons
Transposable element	1967180	22001	ClassII_TIR
Nuclear organellar insertion	9803	22001	mitochondria
Other repeat	1502309	22001	repeat_region
Telomere	71791	22001	telomere
Non-repetitive genome	100782158	22001	Nonrepetitive_genome
45S rDNA	59010	22002	45S
5S rDNA	321408	22002	5S
Centromere	668055	22002	centromere
Nuclear organellar insertion	13735	22002	chloroplast
Transposable element	6940090	22002	ClassI_LTR
Transposable element	249885	22002	ClassI_nonLTR
Transposable element	6223205	22002	ClassII_Helitrons
Transposable element	1997709	22002	ClassII_TIR
Nuclear organellar insertion	12563	22002	mitochondria
Other repeat	1312161	22002	repeat_region
Telomere	63521	22002	telomere
Non-repetitive genome	100557966	22002	Nonrepetitive_genome
45S rDNA	74572	22003	45S
5S rDNA	279400	22003	5S
Centromere	668214	22003	centromere
Nuclear organellar insertion	40112	22003	chloroplast
Transposable element	7777257	22003	ClassI_LTR
Transposable element	115418	22003	ClassI_nonLTR
Transposable element	6443129	22003	ClassII_Helitrons
Transposable element	2113332	22003	ClassII_TIR
Nuclear organellar insertion	656	22003	mitochondria
Other repeat	1115412	22003	repeat_region
Telomere	97415	22003	telomere
Non-repetitive genome	100307847	22003	Nonrepetitive_genome
45S rDNA	67215	22004	45S
5S rDNA	301965	22004	5S
Centromere	796529	22004	centromere
Nuclear organellar insertion	9913	22004	chloroplast
Transposable element	8244988	22004	ClassI_LTR
Transposable element	111735	22004	ClassI_nonLTR
Transposable element	6044351	22004	ClassII_Helitrons
Transposable element	2272156	22004	ClassII_TIR
Nuclear organellar insertion	9480	22004	mitochondria
Other repeat	1114844	22004	repeat_region
Telomere	86886	22004	telomere
Non-repetitive genome	101606310	22004	Nonrepetitive_genome
45S rDNA	82416	22005	45S
5S rDNA	386255	22005	5S
Centromere	591456	22005	centromere
Nuclear organellar insertion	26116	22005	chloroplast
Transposable element	7797467	22005	ClassI_LTR
Transposable element	381316	22005	ClassI_nonLTR
Transposable element	5831192	22005	ClassII_Helitrons
Transposable element	2347033	22005	ClassII_TIR
Nuclear organellar insertion	587	22005	mitochondria
Other repeat	1233221	22005	repeat_region
Telomere	115853	22005	telomere
Non-repetitive genome	101442002	22005	Nonrepetitive_genome
45S rDNA	48798	22006	45S
5S rDNA	290809	22006	5S
Centromere	427675	22006	centromere
Nuclear organellar insertion	27254	22006	chloroplast
Transposable element	7604610	22006	ClassI_LTR
Transposable element	295829	22006	ClassI_nonLTR
Transposable element	4870933	22006	ClassII_Helitrons
Transposable element	2486143	22006	ClassII_TIR
Nuclear organellar insertion	587	22006	mitochondria
Other repeat	1116647	22006	repeat_region
Telomere	110513	22006	telomere
Non-repetitive genome	101139021	22006	Nonrepetitive_genome
45S rDNA	60484	22007	45S
5S rDNA	253448	22007	5S
Centromere	485997	22007	centromere
Nuclear organellar insertion	17286	22007	chloroplast
Transposable element	7575832	22007	ClassI_LTR
Transposable element	183801	22007	ClassI_nonLTR
Transposable element	6340035	22007	ClassII_Helitrons
Transposable element	2219122	22007	ClassII_TIR
Nuclear organellar insertion	5689	22007	mitochondria
Other repeat	763913	22007	repeat_region
Telomere	78507	22007	telomere
Non-repetitive genome	100521213	22007	Nonrepetitive_genome
Estimated non-scaffolded genome	15568456	1741	Unreachable_genome
Estimated non-scaffolded genome	20776511	6024	Unreachable_genome
Estimated non-scaffolded genome	22792530	6069	Unreachable_genome
Estimated non-scaffolded genome	24096608	6124	Unreachable_genome
Estimated non-scaffolded genome	34293263	6244	Unreachable_genome
Estimated non-scaffolded genome	17471691	6909	Unreachable_genome
Estimated non-scaffolded genome	16556726	6966	Unreachable_genome
Estimated non-scaffolded genome	23030522	8236	Unreachable_genome
Estimated non-scaffolded genome	26253999	9075	Unreachable_genome
Estimated non-scaffolded genome	21627640	9537	Unreachable_genome
Estimated non-scaffolded genome	24777210	9543	Unreachable_genome
Estimated non-scaffolded genome	28222899	9638	Unreachable_genome
Estimated non-scaffolded genome	16313604	9728	Unreachable_genome
Estimated non-scaffolded genome	19646979	9764	Unreachable_genome
Estimated non-scaffolded genome	17383170	9888	Unreachable_genome
Estimated non-scaffolded genome	19775523	9905	Unreachable_genome
Estimated non-scaffolded genome	21943805	9981	Unreachable_genome
Estimated non-scaffolded genome	16067794	10002	Unreachable_genome
Estimated non-scaffolded genome	23369557	10015	Unreachable_genome
Estimated non-scaffolded genome	31146856	10024	Unreachable_genome
Estimated non-scaffolded genome	28256450	22001	Unreachable_genome
Estimated non-scaffolded genome	29508137	22002	Unreachable_genome
Estimated non-scaffolded genome	25595178	22003	Unreachable_genome
Estimated non-scaffolded genome	21911438	22004	Unreachable_genome
Estimated non-scaffolded genome	30759969	22005	Unreachable_genome
Estimated non-scaffolded genome	30272802	22006	Unreachable_genome
Estimated non-scaffolded genome	25358271	22007	Unreachable_genome
